H,T,m1,dm1,m2,dm2,amp,phase,Hamp,f,chi1,chi2,Tround
Oe,K,emu,emu,emu,emu,emu,deg,Oe,Hz,cm3/mol,cm3/mol,K
1.3,3.304944705732808e-06, holder=58.19mg,wosk=0.43mg,,,,,,,,,
400.0,3.599754,0.000284674,2.274037e-08,1.002181e-05,2.233331e-06,0.0002848503,2.016237,3.0,1488.095,28.711927666666664,1.0107894778205126,3.6
400.0,3.500003,0.00039510580000000003,0.0,9.398842e-07,0.0,0.00039510690000000003,0.13629589999999997,3.0,0.100003,39.84996575128205,0.09479575642820512,3.5
400.0,3.5000839999999998,0.00039492559999999995,0.0,8.289163000000001e-07,0.0,0.0003949264,0.12025899999999999,3.0,0.1427445,39.83179096410256,0.0836036478474359,3.5
400.0,3.500139,0.0003952464,0.0,1.043843e-06,0.0,0.0003952478,0.1513173,3.0,0.2037335,39.86414652307692,0.10528093437179487,3.5
400.0,3.500165,0.0003948575,0.0,1.535977e-06,0.0,0.00039486050000000003,0.22287670000000004,3.0,0.2908745,39.82492246794871,0.15491706485897436,3.5
400.0,3.499949,0.0003942142,0.0,1.7101589999999999e-06,0.0,0.0003942179,0.24855589999999997,3.0,0.41520519999999994,39.76003988974359,0.1724848827307692,3.5
400.0,3.500003,0.0003931315,0.0,2.2636279999999997e-06,0.0,0.0003931381,0.3299021,3.0,0.5925744000000001,39.650839878205126,0.22830719841025637,3.5
400.0,3.500003,0.0003932614,0.0,2.92711e-06,0.0,0.0003932723,0.4264541,3.0,0.8457527,39.66394145897436,0.29522531243589745,3.5
400.0,3.499976,0.0003928945,0.0,3.891561e-06,0.0,0.0003929138,0.5674875,3.0,1.206626,39.62693630128204,0.3924988511153846,3.5
400.0,3.499949,0.0003918401,0.0,4.929911e-06,0.0,0.0003918711,0.7208251,3.0,1.7230919999999998,39.520590598717945,0.4972257671410256,3.5
400.0,3.499976,0.0003910003,0.0,5.554465e-06,0.0,0.0003910397,0.8138766,3.0,2.459855,39.43588923205128,0.5602176430128205,3.5
400.0,3.4998669999999996,0.00038959940000000005,0.0,6.284919e-06,0.0,0.00038965010000000005,0.924201,3.0,3.51071,39.2945958948718,0.6338904842692308,3.5
400.0,3.4998669999999996,0.00038798230000000003,0.0,6.963760999999999e-06,0.0,0.00038804480000000004,1.0282719999999999,3.0,5.012297,39.1314968474359,0.7023577921410256,3.5
400.0,3.4998120000000004,0.00038649260000000004,0.0,7.840134000000001e-06,0.0,0.0003865721,1.162105,3.0,7.154304,38.981247233333335,0.7907478740769232,3.5
400.0,3.4997580000000004,0.00038417910000000004,0.0,8.870244e-06,0.0,0.0003842815,1.322657,3.0,10.20797,38.74790999615385,0.8946437121538462,3.5
400.0,3.4997580000000004,0.00038267559999999995,0.0,1.000041e-05,0.0,0.00038280629999999996,1.4969620000000001,3.0,14.575560000000001,38.59626852820512,1.0086310957692308,3.5
400.0,3.499839,0.0003807983,0.0,1.0818239999999999e-05,0.0,0.0003809519,1.627299,3.0,20.81483,38.40692597564102,1.0911165907692306,3.5
400.0,3.4998669999999996,0.0003778272,0.0,1.347236e-05,0.0,0.00037806730000000005,2.042157,3.0,29.695909999999998,38.10726387692308,1.3588084117948718,3.5
400.0,3.4997580000000004,0.0003758041,0.0,1.581191e-05,0.0,0.00037613660000000005,2.409291,3.0,42.382459999999995,37.903216085897434,1.5947730252564103,3.5
400.0,3.4997849999999997,0.0003723026,0.0,1.816644e-05,0.0,0.0003727456,2.7935220000000003,3.0,60.483869999999996,37.55005838717948,1.8322485061538458,3.5
400.0,3.4998660000000004,0.0003683493,0.0,2.111802e-05,0.0,0.00036895419999999996,3.281261,3.0,86.32597,37.15133260384615,2.1299418376923076,3.5
400.0,3.4998120000000004,0.00036377720000000004,0.0,2.5176729999999998e-05,0.0,0.0003646475,3.959081,3.0,123.1932,36.690195287179485,2.53929916551282,3.5
